Hybrid,Env,Win_YN,moisture,test_weight,root_lodging,stalk_lodging,plant_height,ear_height,silk,pollen,Rain_1,Rain_2,Rain_3,Rain_5,Rain_6,Rain_7,Rain_8,Rain_10,Rain_11,AccPrecip_1,AccPrecip_2,AccPrecip_3,AccPrecip_5,AccPrecip_6,AccPrecip_7,AccPrecip_8,AccPrecip_10,AccPrecip_11,Radn_1,Radn_2,Radn_3,Radn_5,Radn_6,Radn_7,Radn_8,Radn_10,Radn_11,MaxT_1,MaxT_2,MaxT_3,MaxT_5,MaxT_6,MaxT_7,MaxT_8,MaxT_10,MaxT_11,MinT_1,MinT_2,MinT_3,MinT_5,MinT_6,MinT_7,MinT_8,MinT_10,MinT_11,ThermalTime_1,ThermalTime_2,ThermalTime_3,ThermalTime_5,ThermalTime_6,ThermalTime_7,ThermalTime_8,ThermalTime_10,ThermalTime_11,TempStress_1,TempStress_2,TempStress_3,TempStress_5,TempStress_7,TempStress_8,TempStress_10,TempStress_11,latitude,longitude,year,field_location
PB80/PHZ51,GAH2_2017,N,15.15,912.6143308,3,2,235,130.5,58.5,56,5.215806507,2.59000005,0.877047008,6.976424555,36.66571527,11.68990473,2.766634194,6.717714339,5.237281131,161.6900017,18.13000035,10.98809533,219.4985743,69.630002,116.6428568,77.55666748,33.5885717,162.3557151,18.59375843,20.97986943,21.98193589,18.54567619,14.33990901,17.7663424,19.78523868,18.86354985,17.57616326,25.93516134,24.17571449,30.47339418,29.31252372,29.52904774,29.72980419,32.72601502,32.10511542,30.76784952,12.17225799,9.938571385,16.15324828,18.06353156,20.43476164,19.51114297,21.20992787,20.86352373,19.95543778,11.90954616,10.38538115,15.45655397,15.75249851,16.98190469,16.63412837,18.90169131,18.47155665,17.41241638,0.999631335,0.985714285,1,1,1,1,1,1,33.727145,-83.29821525,2017,GAH2
WF9/H95,ARH2_2017,Y,17.7,731.1212129,0,2,229,110,65,64,2.789999995,15.83285686,4.776016413,2.853949028,1.142500003,5.651818152,3.905948255,2.4430325,4.688621725,89.27999985,110.829998,61.6427269,88.95863769,3.003181826,52.42863608,105.2449988,13.33772746,145.3472735,17.14489296,19.09436907,20.93439511,19.65670258,19.84409681,19.1211903,18.81176407,19.65259997,17.546866,23.65656266,24.55142866,25.38541455,28.9612549,32.40098458,30.84565692,31.84241473,32.83627249,30.20087953,12.07343751,12.16142872,12.7110645,18.0477898,21.78734854,20.24410098,21.87781566,22.25639174,20.26112908,10.83878158,11.22094165,11.88579938,15.62584547,19.09416656,17.54487895,18.8103181,19.27693671,17.25265116,0.991674107,1,0.97315368,1,1,1,1,1,35.67418125,-90.0752695,2017,ARH2
LH212HT/LH195,IAH3_2017,Y,19,762.6572511,0,2,229,110,65,64,4.153750014,4.476666673,3.404720357,2.207347727,0.783636364,2.628276904,1.892687593,2.328876272,1.794257086,132.9200004,67.1500001,54.03954627,78.33863542,1.567272728,28.02681865,71.85545488,19.05045461,54.69545453,16.14493189,17.75127989,18.89303832,22.07985964,20.54923199,20.99384486,19.81852315,17.22919489,15.64326955,15.84312499,15.5066665,21.42652578,27.714982,28.45522753,29.90074383,27.6545798,25.64720852,25.13760955,4.41906251,4.141333344,9.782295063,13.56526933,16.05901469,16.6123348,14.8096002,12.74600627,11.28191352,5.818880471,5.62230391,9.387130072,13.2881535,14.4256186,15.3843105,13.65871261,11.89796048,11.29223634,0.568604913,0.570380948,0.879734313,1,1,1,1,0.979205627,41.9758706,-92.24318881,2017,IAH3
B73/PHM49,SCH1_2019,N,16.695,731.1212129,0,1.5,209.55,80.01,56,57,3.522580645,3.026666641,1.832071666,3.15534991,1.497023807,2.439880971,1.838213127,1.715047598,2.162465429,109.2,18.15999985,19.94999987,97.87357193,2.846428582,21.92714303,50.9164284,9.481428444,67.0364283,18.2238054,19.24788825,19.83816148,19.9388592,17.79349522,20.88775084,19.93011295,20.19525604,17.6553152,24.08129043,27.55666669,26.86360264,30.30302253,30.15095266,31.81823454,32.87501498,31.84457125,32.33357145,10.7222581,15.88833332,14.78977791,18.33498627,20.49666657,19.48954379,21.18366564,19.1694286,20.16504603,10.62715993,13.88239503,13.27455789,16.3672742,17.32380961,17.64580353,19.00989067,17.48787314,18.15917061,0.967315668,1,1,1,1,1,1,1,34.62248225,-82.73756775,2019,SCH1
B73/PHN82,WIH3_2020,N,24.38,666.6332326,0,0.4,256.3,135.2,67.7,66.1,2.733870995,5.446666638,6.112394342,4.74655674,3.655208389,1.04360979,2.527373572,3.69928986,2.61452892,84.75000083,32.67999983,82.9068754,167.6149986,8.003125131,12.58312517,113.8450009,40.74312496,78.93437568,20.41919384,18.2775027,21.33639865,20.40337995,19.49413761,18.99324058,17.80850823,14.15156863,10.1168501,15.48354838,26.52499994,25.39100386,27.30541678,28.00124967,27.24401428,25.77617537,21.78088819,14.67245705,3.106129019,15.18500026,12.31273591,15.12317531,16.14624966,16.31340126,13.17330579,9.92591724,4.431311843,5.287102842,13.2823578,11.70416503,13.61992535,14.28505882,13.97808988,12.29059579,9.657643491,5.630137727,0.571854837,1,1,1,1,0.965668942,0.879609054,0.560799012,44.115703,-89.54491325,2020,WIH3
B37/MO17,IAH4_2019,Y,34.75,630.3989683,32.5,1.75,264.75,131.25,64.5,62.5,7.44874995,0,6.508814674,5.652572602,2.433809479,0.731547632,2.455795253,7.856419535,5.758725846,238.3599984,0,89.12928634,169.456428,4.779285618,8.60571444,106.5300014,62.81714391,173.1250012,18.61457558,24.25652275,18.80062453,19.64217675,17.01762246,21.29967345,16.82875041,12.82062273,10.73648339,20.72718754,29.98400002,24.57226332,29.58102216,28.11761892,27.58625519,26.21902431,25.70162766,18.66579105,8.655312385,16.39199963,13.30590142,18.52555793,18.42333308,15.4118289,14.78252205,14.57801647,7.354403302,8.719182336,15.28713381,11.55896644,16.12377034,15.4195504,13.79277779,12.9189296,12.78184671,8.051480754,0.866629464,1,1,1,1,0.996735112,0.969646609,0.721601517,42.03193798,-93.79333213,2019,IAH4
F42/OH43,ONH1_2015,Y,35.15,702.1595451,0,1.5,225,110,86.5,86.5,1.605625002,2.296315821,1.411426091,1.973297954,0.512941169,3.436769168,2.641035405,1.799953816,2.360571209,51.38000005,43.63000059,20.30117703,73.50294104,0.81882352,40.73352947,103.9364728,19.58470627,71.14882509,18.02169462,20.4737019,23.34007091,22.64543997,20.24065375,18.07254412,18.60447299,14.22755231,12.21920895,9.771562532,12.63473691,23.7578119,26.83441686,29.90941261,27.46928249,26.11972075,22.82201755,18.35250846,-0.327500018,2.045263152,11.01347606,13.31919887,17.43313718,16.50329302,14.06775752,11.69572195,7.013714688,2.851211725,4.201400589,10.67713105,12.77399982,15.76589753,14.15032606,12.63577386,10.48249806,7.379159901,0.167098218,0.403345874,0.957007131,0.991950294,1,0.994472794,0.939113043,0.772366561,43.49741975,-80.44806025,2015,ONH1
W10001_0022/PHB47,MOH1_2016,N,15.9,731.1212129,12.5,2.5,250,112.5,55,53,2.465483877,8.058000231,0.264259377,6.282521268,1.94553035,9.25680559,4.358907121,3.354664451,5.453130527,76.43000019,40.29000115,2.879999995,172.8372758,4.262727369,83.20363667,125.2090916,21.13363606,168.2240918,20.2309363,16.93509369,22.49829557,20.20959989,18.68177986,19.21408964,18.0090922,17.17714413,15.87534947,21.83193548,27.56600037,27.88644765,31.21215235,30.25795442,31.2505745,30.57423065,29.80077912,28.25339236,10.073871,16.74400005,16.26474463,19.86215984,19.98371223,20.49117413,20.76153791,19.91431794,17.56318368,9.497798547,14.24343349,14.21296425,17.47336946,17.12232598,17.8699151,17.65104862,16.90998551,15.09561117,0.937315665,1,1,1,1,1,1,0.999442641,38.8955475,-92.2072025,2016,MOH1
B14A/OH43,DEH1_2018,N,18.85,695.0800263,0,5.5,195,97,68,67.5,3.413225795,4.724545566,2.007753279,2.760624154,0.287142856,8.862777665,3.915865231,4.933581623,5.971971652,105.8099996,51.97000122,28.2621423,90.35856978,0.861428567,79.76499898,101.102142,26.37928568,184.7400021,18.24738333,20.30334785,18.96061465,21.19242313,20.3949075,18.85770366,17.73482038,14.47844699,15.08372737,17.38161278,18.28454564,22.01469092,28.14795471,32.28714262,31.68230149,32.09286912,30.42106803,28.79790015,6.703871004,7.41363637,12.85857977,17.97497576,22.0019049,21.31992057,22.76420594,22.26141136,20.21526036,6.825711165,7.366383816,10.38385741,15.21158117,19.10753111,18.47850441,19.35879976,18.34204267,16.58274325,0.781601378,0.839058448,0.989425295,1,1,1,1,1,38.65164475,-75.44913625,2018,DEH1
W10004_0216/PHZ51,GAH2_2017,Y,17.2,763.9444363,11.5,2,249.5,127,56.5,56,5.215806507,2.59000005,0.877047008,6.976424555,36.66571527,11.68990473,2.766634194,6.717714339,5.237281131,161.6900017,18.13000035,10.98809533,219.4985743,69.630002,116.6428568,77.55666748,33.5885717,162.3557151,18.59375843,20.97986943,21.98193589,18.54567619,14.33990901,17.7663424,19.78523868,18.86354985,17.57616326,25.93516134,24.17571449,30.47339418,29.31252372,29.52904774,29.72980419,32.72601502,32.10511542,30.76784952,12.17225799,9.938571385,16.15324828,18.06353156,20.43476164,19.51114297,21.20992787,20.86352373,19.95543778,11.90954616,10.38538115,15.45655397,15.75249851,16.98190469,16.63412837,18.90169131,18.47155665,17.41241638,0.999631335,0.985714285,1,1,1,1,1,1,33.727145,-83.29821525,2017,GAH2
